Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,107.95,24949716992,,57.652763,0.64334893,0.073,-0.154,-0.11356,12786750464,0.045
BT-A.L,BT GROUP PLC ORD 5P,212.3,20679698432,21.230001,163.81174,1.031355,-0.03,-0.132,0.04738,1002124992,0.082
WPP.L,WPP PLC ORD 10P,227.1,2449870080,,96.43312,0.18080221,-0.083,,-0.01587,-63250000,0.15
