Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
005380.KS,HyundaiMtr,517000.0,134573354647552,,,0.7225241,,,0.05072,-7214117945344,0
000270.KS,KIA CORP.,168500.0,65146063945728,,,0.5707512,0.035,-0.142,0.06624,1879376658432,0
012330.KS,Mobis,400500.0,35760900145152,,,0.5851112,0.047,-0.394,0.05982,1096699871232,0
090430.KS,AMOREPACIFIC,140800.0,9713213243392,,,2.2839463,0.066,,0.055419996,546579152896,0
097950.KS,CJ CheilJedang,212000.0,3396914905088,,,0.12423531,,,-0.0209,2242402058240,0
139480.KS,emart,100700.0,2697587064832,,,0.09311532,0.009,,0.0047,-302343421952,0
