Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
068270.KS,Celltrion,Healthcare,South Korea,,,10.62,25.1,128.7,24.74,171784798208.0,0.0,19.67,13.24,5,1,2,3
BDX,"Becton, Dickinson and Company",Healthcare,US,25.18,1.74,2.55,1.6,28.6,8.01,3105250048.0,4.17,6.06,-12.84,3,2,4,3
SYK,Stryker Corporation,Healthcare,US,40.01,5.73,5.11,11.4,55.9,12.92,4170125056.0,3.4,-10.5,-8.71,4,2,4,3
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,US,17.67,2.41,5.4,2.5,-2.6,31.41,3258374912.0,3.52,24.1,11.91,3,3,2,3
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,US,29.68,6.18,9.61,9.5,32.9,32.94,2573112576.0,0.0,18.52,-9.76,4,2,3,3
CI,The Cigna Group,Healthcare,US,11.85,1.66,0.26,10.4,-9.3,2.17,9769875456.0,6.04,-8.47,-15.24,1,3,4,3
ERF.PA,EUROFINS SCIENT.,Healthcare,Europe,23.95,3.05,1.47,4.3,28.9,6.51,492524992.0,0.72,-2.18,18.19,2,2,3,3
OR.PA,L'OREAL,Healthcare,Europe,30.39,5.31,4.21,1.0,0.4,13.91,5913287680.0,7.2,-7.21,-1.83,4,3,4,3
ARGX.BR,ARGENX SE,Healthcare,Europe,34.6,5.73,8.54,73.0,-31.9,30.5,512832992.0,0.0,-6.73,2.92,4,3,4,3
DD,"DuPont de Nemours, Inc.",Materials,US,202.1,1.25,2.6,0.0,0.0,-11.37,13435374592.0,1.43,31.06,37.71,4,3,1,3
CTVA,"Corteva, Inc.",Materials,US,44.19,2.15,3.0,-1.7,0.0,6.29,2929999872.0,0.71,9.67,26.52,3,3,2,3
DOW,Dow Inc.,Materials,US,,1.64,0.66,-9.1,0.0,-6.56,-784750016.0,2.1,60.22,8.18,3,4,2,3
FCX,"Freeport-McMoRan, Inc.",Materials,US,34.27,3.96,2.89,-1.5,47.7,8.51,1559124992.0,0.6,16.62,31.22,4,3,2,3
LIN,Linde plc,Materials,US,33.43,5.92,6.66,5.8,-9.4,20.3,4786500096.0,6.0,2.63,7.94,4,3,3,3
352820.KS,HYBE,Telecom & Media,South Korea,,,5.39,-1.4,0.0,-8.95,70856146944.0,0.0,18.79,50.43,4,3,2,3
035760.KQ,CJ ENM,Telecom & Media,South Korea,,,0.24,10.8,0.0,1.52,487944388608.0,0.0,-12.15,13.3,3,2,4,3
032640.KS,LG Uplus,Telecom & Media,South Korea,,,0.45,2.5,0.0,3.39,843181654016.0,0.0,10.17,54.55,3,3,2,3
ENGI.PA,ENGIE,Utilities,Europe,17.56,2.26,0.93,-6.6,-59.4,5.32,-537249984.0,1.35,46.83,64.13,2,5,1,3
IBE.MC,ACCIONES IBERDROLA,Utilities,Europe,22.56,2.53,2.94,0.5,559.8,14.26,-1719250048.0,0.68,24.23,40.97,3,3,2,3
9501.T,TOKYO ELEC POWER CO HLDGS INC,Utilities,Japan,,0.34,0.16,-9.1,185.9,-11.53,0.0,0.0,-12.88,41.09,2,4,3,3
SVT.L,SEVERN TRENT PLC ORD 97 17/19P,Utilities,UK,28.17,493.25,3.37,18.0,60.3,11.92,-970550016.0,1.23,17.08,19.71,4,2,2,3
UU.L,UNITED UTILITIES GROUP PLC ORD ,Utilities,UK,21.47,433.76,3.64,21.0,132.4,16.93,-373362496.0,0.52,12.79,27.86,4,2,2,3
SSE.L,SSE PLC ORD 50P,Utilities,UK,29.57,286.53,3.01,3.9,-44.5,9.31,-2417200128.0,0.64,50.92,64.09,4,4,1,3
CBK.DE,Commerzbank AG                I,Finance,Germany,13.02,1.47,2.99,4.7,0.0,22.93,0.0,1.1,-5.95,34.48,3,4,3,3
DBK.DE,DEUTSCHE BANK AG              N,Finance,Germany,8.01,0.58,1.62,-18.8,-39.8,22.22,0.0,1.0,-19.92,14.35,1,5,4,3
MNG.L,M&G PLC,Finance,UK,22.84,208.12,0.89,37.0,0.0,4.11,-3452875008.0,0.2,8.3,26.48,3,3,2,3
PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,Finance,UK,,609.21,0.44,-31.3,0.0,-3.44,5023750144.0,0.55,0.8,14.73,4,4,3,3
IGG.L,IG GROUP HOLDINGS PLC ORD 0.005,Finance,UK,13.81,256.86,4.47,8.1,18.6,46.34,0.0,0.48,35.01,53.4,4,3,1,3
III.L,3I GROUP PLC ORD 73 19/22P,Finance,UK,4.16,94.4,4.15,72.1,60.6,94.82,4082874880.0,0.79,-31.35,-26.77,3,1,5,3
ABDN.L,ABERDEEN GROUP PLC ORD 13 61/63,Finance,UK,9.01,68.76,2.53,1.6,97.6,28.93,-1488125056.0,0.15,-0.7,9.26,3,3,3,3
STAN.L,STANDARD CHARTERED PLC ORD USD0,Finance,UK,10.77,100.95,1.67,2.3,0.2,25.09,0.0,0.61,4.43,29.98,3,4,2,3
NWG.L,NATWEST GROUP PLC ORD 107.69P,Finance,UK,7.76,109.25,2.6,11.4,13.1,36.51,0.0,0.32,0.93,13.1,3,3,3,3
BARC.L,BARCLAYS PLC ORD 25P,Finance,UK,8.9,79.59,1.92,14.1,29.0,26.74,0.0,0.09,-2.45,23.81,3,3,3,3
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,Finance,UK,12.97,127.86,2.86,14.4,146.4,25.01,0.0,0.04,10.6,26.96,4,2,2,3
GILD,"Gilead Sciences, Inc.",Healthcare,US,20.24,7.5,5.79,4.7,23.4,28.9,7540624896.0,3.16,21.75,31.54,4,2,2,3
DHR,Danaher Corporation,Healthcare,US,37.57,2.55,5.45,4.6,12.5,14.71,4554874880.0,1.28,-1.73,-9.85,4,2,4,3
ISRG,"Intuitive Surgical, Inc.",Healthcare,US,60.58,9.52,16.87,18.8,16.6,28.38,2274837504.0,0.0,8.95,-2.95,5,2,3,3
PFE,"Pfizer, Inc.",Healthcare,US,19.83,1.77,2.45,-1.2,0.0,12.42,13430124544.0,1.72,16.12,10.07,2,3,3,3
AMGN,Amgen Inc.,Healthcare,US,24.44,21.64,5.1,8.6,112.1,20.98,7501875200.0,9.52,23.58,13.5,4,2,2,3
TMO,Thermo Fisher Scientific Inc,Healthcare,US,26.74,3.34,3.96,7.2,9.3,15.05,4390875136.0,1.72,-0.91,-8.03,3,2,4,3
MRK,"Merck & Company, Inc.",Healthcare,US,15.68,5.37,4.34,5.0,-19.3,28.08,11886749696.0,3.24,42.32,27.08,3,3,2,3
UNH,UnitedHealth Group Incorporated,Healthcare,US,20.83,2.65,0.56,12.3,-99.9,2.69,13863249920.0,8.73,-16.96,-45.18,2,3,5,3
LLY,Eli Lilly and Company,Healthcare,US,39.52,30.57,12.45,42.6,51.4,31.67,1951000064.0,6.0,20.95,9.06,5,1,2,3
006400.KS,"SAMSUNG SDI CO.,LTD.",Technology,South Korea,,,2.38,2.8,0.0,-4.9,-1499648360448.0,0.0,98.76,97.78,3,4,1,3
035720.KS,Kakao,Technology,South Korea,,,2.72,9.0,0.0,6.18,0.0,0.0,-15.99,17.4,3,3,4,3
035420.KS,NAVER,Technology,South Korea,,,2.75,10.7,-43.7,16.23,1463913021440.0,0.0,-3.11,7.61,3,3,3,3
ATO.PA,ATOS,Technology,Europe,,-0.96,0.09,-13.7,0.0,-17.55,485750016.0,0.0,-21.99,4.82,2,4,4,3
BESI.AS,BE Semiconductor Industries N.V,Technology,Europe,107.53,33.99,23.78,8.4,-30.6,22.26,104007248.0,1.58,40.66,70.39,5,3,1,3
AMS.SW,AMS-OSRAM,Technology,Europe,,0.9,0.24,-0.7,0.0,-3.91,273249984.0,0.0,-27.26,-12.65,2,3,5,3
TEMN.SW,TEMENOS N,Technology,Europe,23.19,13.05,4.65,-1.3,-41.8,25.72,485197760.0,1.77,11.96,19.51,3,4,2,3
UBSG.SW,UBS GROUP N,Finance,Europe,15.55,1.26,1.81,12.4,58.0,15.66,0.0,1.1,-11.42,4.28,2,2,4,3
ISP.MI,INTESA SANPAOLO,Finance,Europe,8.71,1.31,3.38,-3.1,0.0,36.52,0.0,0.0,-6.09,10.72,2,4,3,3
SAN.MC,BANCO SANTANDER S.A.,Finance,Europe,11.01,1.32,2.86,-6.4,25.3,30.11,0.0,0.24,7.8,48.83,2,4,2,3
TFC,Truist Financial Corporation,Finance,US,11.56,0.92,3.07,3.2,10.8,28.8,0.0,2.08,-1.89,11.75,2,3,3,3
PNC,"PNC Financial Services Group, I",Finance,US,12.17,1.44,3.65,9.6,29.1,31.08,0.0,6.6,-0.19,20.42,3,3,3,3
USB,U.S. Bancorp,Finance,US,11.09,1.37,3.02,5.3,24.7,28.72,0.0,2.04,3.75,24.91,2,3,3,3
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,Finance,Japan,15.95,1.43,5.18,11.7,8.7,22.77,0.0,74.0,17.29,31.82,4,3,2,3
8309.T,SUMITOMO MITSUI TRUST GP INC,Finance,Japan,11.9,1.06,2.25,-4.5,4.5,19.11,0.0,157.5,19.29,32.66,2,4,2,3
8253.T,CREDIT SAISON CO,Finance,Japan,9.79,0.82,1.13,0.0,0.0,10.76,0.0,120.0,8.1,16.99,1,4,3,3
8766.T,TOKIO MARINE HOLDINGS INC,Finance,Japan,10.96,2.15,1.34,21.8,4.7,12.56,0.0,196.5,-5.9,2.82,2,3,4,3
8411.T,MIZUHO FINANCIAL GROUP,Finance,Japan,14.58,1.36,3.74,5.5,16.4,26.13,0.0,147.5,27.12,46.34,3,3,1,3
AMZN,"Amazon.com, Inc.",Consumer,US,28.64,5.36,3.08,13.6,5.0,10.83,23793125376.0,0.0,-11.28,4.67,4,2,4,3
SWED-A.ST,Swedbank AB ser A,Finance,Europe,11.3,1.63,5.35,-10.7,-3.7,47.64,0.0,20.45,19.56,36.17,3,5,2,3
SHB-A.ST,Svenska Handelsbanken ser. A,Finance,Europe,11.16,1.34,4.75,-12.2,-12.8,41.54,0.0,8.0,13.36,15.25,3,5,2,3
SEB-A.ST,Skandinaviska Enskilda Banken s,Finance,Europe,11.53,1.52,4.63,-5.6,0.8,41.2,0.0,8.5,-1.0,10.64,3,4,3,3
DNB.OL,DNB BANK ASA,Finance,Europe,10.19,1.56,4.79,5.3,-6.8,49.56,0.0,18.0,7.22,12.65,3,4,3,3
NDA-FI.HE,Nordea Bank Abp,Finance,Europe,11.03,1.62,4.53,-3.9,3.1,41.95,0.0,0.96,12.27,28.46,3,4,2,3
KBC.BR,KBC,Finance,Europe,11.9,1.62,3.44,12.4,-9.3,29.92,0.0,5.1,4.99,25.68,3,4,3,3
ACA.PA,CREDIT AGRICOLE,Finance,Europe,7.33,0.7,1.82,-60.4,-76.7,26.64,0.0,1.13,-4.71,1.27,1,5,4,3
CS.PA,AXA,Finance,Europe,8.04,1.64,0.94,2.3,60.3,11.66,0.0,2.32,-5.8,0.19,2,3,4,3
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,Finance,UK,12.86,147.37,3.1,58.4,2397.9,35.25,0.0,0.75,10.41,30.68,4,2,2,3
HYQ.DE,Hypoport SE                   N,Finance,Germany,19.87,1.39,0.84,10.6,192.3,3.36,25352000.0,0.0,-45.07,-53.48,2,2,5,3
ABBV,AbbVie Inc.,Healthcare,US,86.16,-110.85,5.93,10.0,0.0,6.91,18337748992.0,6.65,-6.41,0.92,4,2,4,3
9432.T,NTT INC,Telecom & Media,Japan,12.63,1.36,0.92,5.5,13.5,7.64,-436653490176.0,5.25,-0.01,9.42,2,3,3,3
BT-A.L,BT GROUP PLC ORD 5P,Telecom & Media,UK,21.23,163.81,1.03,-3.0,-13.2,4.74,1002124992.0,0.08,8.06,30.14,4,4,2,3
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,Telecom & Media,UK,,57.65,0.64,7.3,-15.4,-11.36,12786750464.0,0.04,28.26,45.08,4,3,1,3
DTE.DE,DEUTSCHE TELEKOM AG           N,Telecom & Media,Germany,16.05,2.46,1.26,2.5,-58.2,7.89,14988999680.0,1.0,8.73,-2.38,3,4,3,3
ED,"Consolidated Edison, Inc.",Utilities,US,19.41,1.63,2.34,8.9,-8.3,11.96,-145250000.0,3.4,15.47,4.92,2,4,3,3
PEG,Public Service Enterprise Group,Utilities,US,18.82,2.33,3.26,18.3,10.5,17.35,-105000000.0,2.52,-1.08,-1.18,3,3,4,3
SRE,DBA Sempra,Utilities,US,33.35,1.89,4.37,-0.2,-48.2,13.4,-27727874048.0,2.58,12.63,35.92,4,5,2,3
AEP,American Electric Power Company,Utilities,US,18.87,2.18,3.11,13.2,-12.6,16.36,-5140375040.0,3.74,19.23,23.54,3,4,2,3
DUK,Duke Energy Corporation (Holdin,Utilities,US,20.06,1.94,3.1,8.0,-2.2,15.63,-2002625024.0,4.22,6.54,10.24,3,4,3,3
NEE,"NextEra Energy, Inc.",Utilities,US,27.12,3.41,6.8,20.7,26.0,24.93,-15209124864.0,2.27,27.63,30.03,4,2,2,3
MCD,McDonald's Corporation,Consumer,US,25.85,-122.61,8.2,9.7,8.2,31.85,6296124928.0,7.17,3.33,3.46,3,2,3,3
PEP,"Pepsico, Inc.",Consumer,US,25.01,10.05,2.18,5.6,67.5,8.77,8232750080.0,5.62,7.83,7.29,4,2,3,3
KO,Coca-Cola Company (The),Consumer,US,24.59,10.0,6.71,2.4,3.6,27.34,-1461250048.0,2.04,14.09,12.01,4,4,3,3
COST,Costco Wholesale Corporation,Consumer,US,50.51,13.45,1.51,9.2,13.9,2.99,6690375168.0,5.2,2.51,7.52,4,2,3,3
WMT,Walmart Inc.,Consumer,US,43.6,9.52,1.33,5.6,-19.0,3.07,10554250240.0,0.94,16.79,39.66,4,3,2,3
FIE.DE,Fielmann Group AG             I,Consumer,Germany,19.86,3.75,1.5,2.7,29.2,7.55,0.0,1.15,-18.06,-2.2,3,3,4,3
ZAL.DE,Zalando SE                    I,Consumer,Germany,26.7,2.02,0.46,23.4,-21.8,1.72,1001600000.0,0.0,-16.51,-31.81,2,3,5,3
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,Consumer,Germany,6.37,0.48,0.34,-8.1,21.3,5.47,2596517888.0,4.4,-9.01,-0.01,1,3,4,3
MBG.DE,Mercedes-Benz Group AG        N,Consumer,Germany,9.52,0.52,0.34,-12.4,-44.3,3.89,-1038374976.0,3.5,-1.2,-5.52,1,5,4,3
VOW3.DE,VOLKSWAGEN AG                 V,Consumer,Germany,6.42,0.25,0.13,-4.7,-1.9,2.28,12736529408.0,5.26,-12.23,-11.47,1,4,4,3
BKNG,Booking Holdings Inc. Common St,Consumer,US,26.11,-24.72,5.18,16.0,38.4,20.08,6550750208.0,38.4,-20.25,-5.63,3,2,5,3
KGF.L,KINGFISHER PLC ORD 15 5/7P,Consumer,UK,28.91,80.31,0.38,0.8,4.8,1.44,867500032.0,0.12,0.01,5.48,3,3,3,3
NXT.L,NEXT PLC ORD 10P,Consumer,UK,18.38,835.86,2.18,9.9,20.6,12.38,667774976.0,2.45,0.74,24.24,4,2,3,3
EL,"Estee Lauder Companies, Inc. (T",Consumer,US,,7.71,2.12,5.6,0.0,-1.21,1695000064.0,1.4,-1.47,30.38,4,3,3,3
TGT,Target Corporation,Consumer,US,13.93,3.17,0.49,-1.5,-5.0,3.54,2590125056.0,4.52,31.46,13.83,2,4,2,3
LOW,"Lowe's Companies, Inc.",Consumer,US,18.94,-12.71,1.46,10.9,-10.8,7.71,5399875072.0,4.75,-14.5,0.92,2,3,4,3
DIS,Walt Disney Company (The),Consumer,US,14.66,1.63,1.84,5.2,-4.3,12.8,3174500096.0,1.5,-11.93,1.16,2,3,4,3
PM,Philip Morris International Inc,Consumer,US,22.47,-25.41,6.25,6.8,0.0,27.92,8938874880.0,5.64,2.87,11.49,3,3,3,3
ORA.PA,ORANGE,Telecom & Media,Europe,85.58,1.53,1.13,0.0,0.0,1.33,2369999872.0,0.75,28.38,52.89,3,3,1,3
9434.T,SOFTBANK CORP.,Telecom & Media,Japan,19.16,3.6,1.49,0.0,0.0,8.3,0.0,8.6,-2.95,5.19,3,4,3,3
9984.T,SOFTBANK GROUP CORP,Telecom & Media,Japan,6.65,1.31,2.65,8.2,0.0,48.17,-53278248960.0,11.0,-12.48,83.01,2,3,3,3
9433.T,KDDI CORPORATION,Telecom & Media,Japan,14.77,2.04,1.69,4.1,25.6,11.82,929004650496.0,77.5,9.77,13.53,3,2,3,3
T,AT&T Inc.,Telecom & Media,US,9.31,1.8,1.6,3.6,-5.6,17.47,12586250240.0,1.11,-0.21,9.36,2,3,3,3
017390.KS,SeoulCtyGas,Utilities,South Korea,,,0.15,0.3,0.0,1.65,-7946359808.0,0.0,13.81,46.33,3,4,2,3
036460.KS,Kogas,Utilities,South Korea,,,0.09,-9.9,0.0,0.37,4184124424192.0,0.0,-2.63,6.59,3,4,3,3
ORSTED.CO,ORSTED A/S,Utilities,Europe,72.63,1.52,2.49,9.8,0.0,3.33,-30794500096.0,0.0,30.93,-57.84,3,3,3,3
ADP.PA,ADP,Energy & Ind.,Europe,26.71,2.35,1.52,8.3,0.0,5.7,228375008.0,3.0,-5.93,6.61,3,3,4,3
LEG.DE,LEG Immobilien SE             N,Real Estate,Europe,3.28,0.48,2.66,-24.1,554.3,92.67,842112512.0,2.92,-17.2,-12.97,1,3,5,3
VNA.DE,Vonovia SE                    N,Real Estate,Europe,6.64,0.66,2.72,-35.9,0.0,55.69,3463800064.0,1.25,-18.17,-12.41,1,4,5,3
8830.T,SUMITOMO REALTY & DEVELOPMENT C,Real Estate,Japan,21.88,1.8,4.28,0.0,0.0,0.0,0.0,38.5,45.89,70.05,3,4,1,3
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,Consumer,UK,12.35,203.53,3.65,0.1,0.0,30.32,2993750016.0,2.45,10.66,36.69,4,3,2,3
CEC.DE,CECONOMY AG                   I,Consumer,Germany,449.0,3.28,0.09,0.5,24.1,-0.01,580774976.0,0.0,2.05,30.98,3,3,3,3
LOGN.SW,LOGITECH N,Technology,Europe,18.49,5.54,2.15,6.1,28.0,14.94,681839616.0,1.43,-19.29,-11.89,2,2,5,3
ASM.AS,ASM International N.V.,Technology,Europe,43.67,7.83,9.89,-13.7,-26.3,22.81,420212512.0,3.25,28.43,42.14,4,4,1,3
ADYEN.AS,ADYEN,Technology,Europe,25.71,5.15,11.46,16.9,11.9,44.71,534254016.0,0.0,-37.18,-44.53,3,2,5,3
STMPA.PA,STMICROELECTRONICS,Technology,Europe,168.25,1.56,2.03,0.2,0.0,1.41,-407375008.0,0.0,9.87,20.82,3,4,2,3
DUE.DE,DUERR AG                      I,Consumer,Germany,6.17,0.93,0.3,-9.7,1093.5,4.88,240384992.0,0.0,-8.25,-26.36,1,3,5,3
BOSS.DE,HUGO BOSS AG                  N,Consumer,Germany,10.14,1.64,0.59,2.5,28.5,5.84,461786240.0,0.04,-11.2,-0.3,2,2,4,3
7751.T,CANON INC,Technology,Japan,11.72,1.08,0.81,3.8,0.0,7.18,165998116864.0,160.0,-0.33,-9.21,1,3,4,3
6920.T,LASERTEC CORP,Technology,Japan,37.45,13.94,12.61,-19.7,-22.0,34.72,85710127104.0,346.0,118.17,148.55,4,4,1,3
3382.T,SEVEN & I HOLDINGS CO LTD,Consumer,Japan,21.88,1.4,0.51,-20.7,622.5,3.29,-464384262144.0,45.0,6.26,-1.71,2,4,3,3
8267.T,AEON CO LTD,Consumer,Japan,172.37,4.63,0.51,0.0,0.0,0.34,0.0,12.67,9.51,54.88,3,4,2,3
4911.T,SHISEIDO COMPANY LIMITED,Consumer,Japan,,1.99,1.23,0.0,0.0,-4.19,58072498176.0,40.0,27.59,4.77,3,3,2,3
2502.T,ASAHI GROUP HLDGS,Consumer,Japan,13.64,0.84,0.79,0.8,-29.2,0.0,157174743040.0,53.0,-13.65,-16.71,2,4,5,3
7270.T,SUBARU CORPORATION,Consumer,Japan,7.05,0.67,0.39,-10.8,0.0,2.22,-57424998400.0,124.0,-16.51,-9.14,1,4,5,3
7201.T,NISSAN MOTOR CO,Consumer,Japan,,0.25,0.1,-5.1,0.0,-7.68,-859887108096.0,0.0,-1.72,-18.69,2,4,4,3
9984.T,SOFTBANK GROUP CORP,Consumer,Japan,6.65,1.31,2.65,8.2,0.0,48.17,-53278248960.0,11.0,-12.48,83.01,2,3,3,3
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,Consumer,UK,25.74,624.45,0.78,10.6,75.6,4.05,1647874944.0,0.66,-13.79,-12.32,4,2,5,3
IMB.L,IMPERIAL BRANDS PLC ORD 10P,Consumer,UK,12.29,510.0,1.26,4.6,-24.9,10.91,2492750080.0,1.6,-0.69,12.48,3,3,3,3
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,Consumer,UK,16.83,3561.35,4.57,16.6,4.1,27.54,3590249984.0,0.1,1.04,45.76,4,2,2,3
TSCO.L,TESCO PLC ORD 6 1/3P,Consumer,UK,20.39,282.3,0.42,3.6,-5.4,2.14,3272999936.0,0.14,7.85,44.77,3,3,2,3
330590.KS,LOTTE REIT,Real Estate,South Korea,,,,0.0,0.0,0.0,0.0,0.0,25.68,40.73,4,4,2,3
395400.KS,SK REIT,Real Estate,South Korea,,,,0.0,0.0,0.0,0.0,0.0,25.58,32.52,4,4,2,3
PSPN.SW,PSP N,Real Estate,Europe,17.46,1.26,20.3,-0.4,-0.0,116.36,49612000.0,3.95,16.75,20.27,3,3,2,3
LEG.DE,LEG Immobilien SE             N,Real Estate,Germany,3.28,0.48,2.66,-24.1,554.3,92.67,842112512.0,2.92,-17.2,-12.97,1,3,5,3
VNA.DE,Vonovia SE                    N,Real Estate,Germany,6.64,0.66,2.72,-35.9,0.0,55.69,3463800064.0,1.25,-18.17,-12.41,1,4,5,3
VICI,VICI Properties Inc.,Real Estate,US,10.28,1.03,7.16,3.8,-3.4,69.28,1466810752.0,1.76,-12.98,-9.68,2,3,4,3
EOAN.DE,E.ON SE                       N,Utilities,Germany,28.0,2.51,0.6,-10.4,-60.8,2.16,-3621025024.0,0.57,18.8,45.19,3,5,2,3
QIA.DE,Qiagen N.V.                   A,Technology,Germany,19.78,2.2,3.45,3.7,21.9,20.33,257098000.0,0.26,-10.11,-2.92,2,2,4,3
DTE.DE,DEUTSCHE TELEKOM AG           N,Technology,Germany,16.05,2.46,1.26,2.5,-58.2,7.89,14988999680.0,1.0,8.73,-2.38,1,4,3,3
GFT.DE,GFT Technologies SE           I,Technology,Germany,13.21,1.72,0.52,3.4,-14.3,3.7,41675800.0,0.5,0.57,-19.51,1,3,4,3
DLR,"Digital Realty Trust, Inc.",Real Estate,US,48.27,2.68,9.97,17.1,-53.4,21.52,1958439680.0,4.88,2.21,18.6,4,3,3,3
CFR.SW,RICHEMONT N,Consumer,Europe,22.06,3.76,3.49,5.4,295.1,18.71,2154749952.0,3.14,-13.24,-16.96,3,2,5,3
HEIA.AS,HEINEKEN,Consumer,Europe,19.64,2.06,1.29,-2.8,7.5,6.56,2138249984.0,1.9,1.31,-12.29,2,3,4,3
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,Consumer,Europe,25.28,7.72,3.95,4.3,13.3,15.6,5341875200.0,1.2,14.54,11.73,4,2,3,3
KER.PA,KERING,Consumer,Europe,,1.95,1.96,0.0,0.0,0.49,2295000064.0,3.0,-12.93,14.21,3,3,4,3
DSY.PA,DASSAULT SYSTEMES,Technology,Europe,19.11,2.58,3.62,-4.2,6.6,19.18,1257887488.0,0.0,-38.53,-55.71,2,3,5,3
CAP.PA,CAPGEMINI,Technology,Europe,10.8,1.53,0.74,3.7,9.3,7.13,0.0,3.4,-20.24,-31.42,1,3,5,3
ASML.AS,ASML HOLDING,Technology,Europe,45.66,22.17,13.41,4.9,7.2,29.42,10854937600.0,7.5,38.05,69.26,4,2,1,3
7733.T,OLYMPUS CORPORATION,Technology,Japan,15.92,1.96,1.53,3.9,-46.9,8.59,11210500096.0,20.0,-24.3,-30.61,1,3,5,3
COP,ConocoPhillips,Energy & Ind.,US,19.99,2.41,2.57,-6.8,-39.0,13.25,7486875136.0,3.18,40.44,28.79,3,4,2,3
CAT,"Caterpillar, Inc.",Energy & Ind.,US,36.24,14.86,4.71,18.0,-11.4,13.14,5838750208.0,5.94,46.7,105.57,5,3,1,3
GE,GE Aerospace,Energy & Ind.,US,35.58,16.1,6.6,17.6,37.4,18.98,5210999808.0,1.44,-4.4,41.24,5,2,3,3
CVX,Chevron Corporation,Energy & Ind.,US,30.38,2.14,2.18,-8.2,-23.8,6.66,13200749568.0,6.84,31.86,27.96,3,4,2,3
XOM,Exxon Mobil Corporation,Energy & Ind.,US,23.8,2.57,2.05,-1.3,-11.0,8.9,12229749760.0,4.0,43.72,42.99,3,4,1,3
139480.KS,emart,Consumer,South Korea,,,0.09,0.9,0.0,0.47,-302343421952.0,0.0,30.1,30.86,3,4,2,3
090430.KS,AMOREPACIFIC,Consumer,South Korea,,,2.28,6.6,0.0,5.54,546579152896.0,0.0,17.73,29.72,4,3,2,3
012330.KS,Mobis,Consumer,South Korea,,,0.59,4.7,-39.4,5.98,1096699871232.0,0.0,28.43,53.4,3,3,1,3
HEI.DE,Heidelberg Materials AG       I,Energy & Ind.,Germany,16.53,1.67,1.4,-1.4,5.2,9.03,1573699968.0,0.0,-15.62,-1.79,2,3,4,3
9983.T,FAST RETAILING CO LTD,Consumer,Japan,45.04,7.77,5.51,14.8,11.7,12.69,496032251904.0,500.0,31.88,40.37,5,2,1,3
7267.T,HONDA MOTOR CO,Consumer,Japan,10.44,0.41,0.24,-3.4,-41.2,2.33,39892123648.0,69.0,-20.16,-10.13,1,4,5,3
7203.T,TOYOTA MOTOR CORP,Consumer,Japan,11.7,1.11,0.86,8.6,-42.3,7.32,-52135124992.0,95.0,15.88,18.84,2,4,2,3
IHG.L,INTERCONTINENTAL HOTELS GROUP P,Consumer,UK,26.52,-7.09,3.72,2.7,7.7,14.61,673625024.0,1.84,9.1,12.96,3,3,3,3
005380.KS,HyundaiMtr,Consumer,South Korea,,,0.72,0.0,0.0,5.07,-7214117945344.0,0.0,139.4,165.45,3,4,1,3
BLND.L,BRITISH LAND COMPANY PLC ORD 25,Real Estate,UK,7.84,60.62,5.86,16.7,86.3,74.25,238500000.0,0.23,1.41,-3.61,3,1,4,3
GYC.DE,Grand City Properties S.A.    A,Real Estate,Germany,3.4,0.39,2.66,-0.1,-34.4,85.11,390565376.0,0.0,-16.79,-5.32,1,4,4,3
EOAN.DE,E.ON SE                       N,Energy & Ind.,Germany,28.0,2.51,0.6,-10.4,-60.8,2.16,-3621025024.0,0.57,18.8,45.19,2,5,2,3
DHER.DE,Delivery Hero SE              N,Energy & Ind.,Germany,,2.06,0.34,19.2,0.0,-4.18,1199699968.0,0.0,-45.0,-32.43,3,2,5,3
BAS.DE,BASF SE                       N,Energy & Ind.,Germany,28.57,1.23,0.68,-5.6,0.0,2.71,357124992.0,2.25,7.43,-4.46,2,3,3,3
SIE.DE,SIEMENS AG                    N,Energy & Ind.,Germany,20.29,2.43,2.0,4.3,-44.6,9.97,7742624768.0,5.35,-8.9,-11.25,3,3,4,3
NSC,Norfolk Southern Corporation,Energy & Ind.,US,22.03,4.06,5.18,-1.7,-11.4,23.59,1452499968.0,5.4,-0.01,23.76,4,4,3,3
CSX,CSX Corporation,Energy & Ind.,US,24.79,5.4,5.04,-0.9,-0.4,20.5,970499968.0,0.52,16.55,31.05,4,4,2,3
UNP,Union Pacific Corporation,Energy & Ind.,US,19.61,7.55,5.69,-0.6,6.8,29.12,3918000128.0,5.44,7.67,2.81,4,3,3,3
