Date,Close,High,Low,Open,Volume
2025-03-20,256044.609375,261026.02200875487,244089.21905398832,245085.50158073928,673739
2025-03-21,260527.875,262520.4400095602,245583.63742829827,258037.16873804972,625338
2025-03-24,263516.71875,266007.42497637053,257040.88256143668,260527.8712783554,402599
2025-03-25,258535.3125,267501.8551300578,257040.88872832368,264014.8663294798,255202
2025-03-26,270988.84375,273479.5500344669,260029.73609834557,261026.01861213235,412341
2025-03-27,268000.0,274973.9776951673,266007.43494423793,266007.43494423793,281035
2025-03-28,259000.0,272500.0,258000.0,271500.0,271423
2025-03-31,245000.0,253500.0,243500.0,251500.0,376594
2025-04-01,244000.0,251500.0,238500.0,248500.0,275259
2025-04-02,232500.0,246000.0,229500.0,244500.0,357276
2025-04-03,223000.0,227500.0,221000.0,224000.0,311765
2025-04-04,229500.0,231000.0,219000.0,219000.0,308054
2025-04-07,213500.0,221000.0,212500.0,215500.0,457294
2025-04-08,211500.0,220000.0,210000.0,218000.0,323215
2025-04-09,203500.0,215500.0,202500.0,209000.0,431181
2025-04-10,225500.0,227000.0,210500.0,217500.0,507522
2025-04-11,221500.0,222500.0,216000.0,219500.0,221809
2025-04-14,224500.0,233000.0,224000.0,224000.0,184201
2025-04-15,225000.0,226000.0,219500.0,223000.0,160219
2025-04-16,220000.0,230000.0,219500.0,226500.0,182493
2025-04-17,221000.0,223000.0,216500.0,218500.0,173257
2025-04-18,220500.0,222500.0,218000.0,222000.0,121724
2025-04-21,217500.0,222000.0,215500.0,219500.0,139454
2025-04-22,215500.0,220500.0,214500.0,216000.0,156321
2025-04-23,224000.0,226000.0,217500.0,220000.0,293033
2025-04-24,223000.0,225000.0,218000.0,225000.0,163801
2025-04-25,224500.0,229000.0,222500.0,225000.0,201389
2025-04-28,221000.0,227000.0,221000.0,226000.0,246442
2025-04-29,225500.0,227000.0,221500.0,223000.0,181044
2025-04-30,216000.0,225000.0,215000.0,225000.0,252764
2025-05-02,210000.0,217500.0,207000.0,216000.0,377264
2025-05-07,208000.0,213000.0,206500.0,212500.0,369484
2025-05-08,209000.0,211500.0,207500.0,208000.0,371941
2025-05-09,205500.0,210000.0,205000.0,210000.0,253846
2025-05-12,210500.0,210500.0,206000.0,207000.0,139178
2025-05-13,203000.0,211000.0,202000.0,211000.0,460327
2025-05-14,203500.0,205000.0,199900.0,204000.0,247404
2025-05-15,202500.0,204500.0,201000.0,202500.0,133796
2025-05-16,193600.0,204000.0,193500.0,203500.0,529240
2025-05-19,195800.0,200500.0,193000.0,193000.0,333557
2025-05-20,189700.0,197300.0,189000.0,197000.0,403320
2025-05-21,188000.0,192000.0,187600.0,189600.0,379736
2025-05-22,186700.0,190000.0,182600.0,187200.0,351583
2025-05-23,182400.0,189700.0,182300.0,187100.0,220685
2025-05-26,187700.0,188500.0,181500.0,181500.0,224084
2025-05-27,182900.0,186700.0,182000.0,185800.0,223128
2025-05-28,193900.0,194600.0,183950.0,184100.0,431738
2025-05-29,199300.0,202500.0,192200.0,194200.0,413246
2025-05-30,197300.0,199500.0,193900.0,197700.0,500660
2025-06-02,195300.0,198200.0,193900.0,197500.0,157923
2025-06-04,198700.0,202500.0,197200.0,197300.0,281974
2025-06-05,201500.0,204000.0,197500.0,199200.0,240315
2025-06-09,201500.0,203500.0,198700.0,203000.0,315511
2025-06-10,206500.0,212500.0,202000.0,203000.0,407152
2025-06-11,208500.0,214000.0,205000.0,210000.0,289528
2025-06-12,210500.0,213000.0,206500.0,207000.0,446626
2025-06-13,208500.0,213500.0,206500.0,211000.0,298877
2025-06-16,205500.0,208500.0,201000.0,208000.0,250900
2025-06-17,207000.0,211500.0,204000.0,207500.0,262029
2025-06-18,207500.0,209500.0,204000.0,204500.0,216329
2025-06-19,206000.0,210000.0,204000.0,208500.0,203413
2025-06-20,211500.0,213500.0,205000.0,206500.0,389198
2025-06-23,202500.0,208000.0,200500.0,207500.0,280173
2025-06-24,211000.0,216000.0,206500.0,207500.0,372374
2025-06-25,212500.0,214000.0,210000.0,213500.0,178210
2025-06-26,216000.0,218000.0,211000.0,213500.0,313116
2025-06-27,209000.0,218000.0,208000.0,217000.0,227948
2025-06-30,211500.0,215500.0,210000.0,211000.0,173180
2025-07-01,229000.0,236000.0,212000.0,213000.0,810916
2025-07-02,240000.0,241500.0,226500.0,227000.0,627281
2025-07-03,257000.0,262500.0,246500.0,248000.0,1201428
2025-07-04,264500.0,268500.0,245000.0,251000.0,706352
2025-07-07,258500.0,270500.0,257000.0,267500.0,514957
2025-07-08,254500.0,264250.0,253000.0,255000.0,355808
2025-07-09,260000.0,266500.0,256000.0,258000.0,294670
2025-07-10,274000.0,275000.0,264000.0,264500.0,622092
