Date,Close,High,Low,Open,Volume
2025-03-20,576.98486328125,585.4772811823593,570.4906613568722,584.4781731939935,8792466
2025-03-21,575.9857788085938,579.4826569106407,571.2899588754162,573.488008735703,8726793
2025-03-24,574.9866333007812,579.9821731209445,571.489755426667,577.9839571928792,3146358
2025-03-25,573.4879760742188,581.4808398522566,571.9893141158366,579.4826239077471,2444110
2025-03-26,575.4861450195312,580.2548972264049,571.9892674022251,575.9856989648607,3829345
2025-03-27,573.987548828125,574.9866568330478,569.4915628059726,573.4879948256637,5588570
2025-03-28,570.4906616210938,577.9839715373078,568.4924456434367,575.4862015652365,5558102
2025-03-31,570.990234375,572.988450418307,563.9964782234252,566.9938022883858,5185446
2025-04-01,573.987548828125,581.2560839562234,570.9902248133568,577.983980847816,4579735
2025-04-02,572.9884033203125,576.7320700387983,567.9928636226638,570.9901874412529,4297253
2025-04-03,542.274658203125,549.7715428787442,538.7761120211693,541.774865891417,4796893
2025-04-04,530.7794799804688,546.772835309447,522.7828023159796,539.775742353019,7809366
2025-04-07,505.78985595703125,530.4066424090415,484.99850649119395,516.2854952604874,9209011
2025-04-08,527.7807006835938,533.7782086459073,508.2887998060747,512.287138447617,5639790
2025-04-09,513.2867431640625,521.2834207596078,504.7902732187956,515.7857049126703,5077736
2025-04-10,537.2767333984375,547.7723719113372,528.2804718159521,531.7790179869186,5535913
2025-04-11,546.7728271484375,552.270542960716,534.7577996137373,540.7753189895881,3433060
2025-04-14,563.7657470703125,565.2651240572017,549.2717695303843,554.7694851489778,4433379
2025-04-15,571.762451171875,574.7612052864129,563.7657735331076,564.7653582379535,3513218
2025-04-16,574.2614135742188,575.2609982801791,567.7641129854766,571.7624518093179,3499808
2025-04-17,578.2597045898438,579.7590815248217,568.7636506683165,574.7611584082284,2325673
2025-04-22,581.2584838867188,584.7570302213766,576.7603528850158,578.2597298855835,2538305
2025-04-23,581.75830078125,592.2539402283344,577.2601695896424,589.7549784552191,2299862
2025-04-24,583.2576293945312,587.2559678993781,579.2592908896844,582.2580447683196,1694677
2025-04-25,587.2559814453125,587.7557737699468,582.7378393074806,584.2572274975066,3241199
2025-04-28,589.2551879882812,592.2539421256262,586.2564338509363,586.7562262071605,1503622
2025-04-29,592.7537231445312,596.7520619178501,589.734957847537,593.753307837861,1516701
2025-04-30,597.2518310546875,598.7512080364148,590.2547384732937,594.2530770912331,3706011
2025-05-01,595.75244140625,597.2518183560979,591.2543105567062,597.2518183560979,1310316
2025-05-02,599.2510375976562,600.2506223142495,595.2526987312832,598.251452881063,2992847
2025-05-06,604.2489624023438,605.7483394802651,596.7520770127365,602.7495853244222,7653642
2025-05-07,606.7479248046875,607.7475095242999,602.249793566432,605.7483400850751,3343183
2025-05-08,602.7495727539062,612.2456273826991,602.7495727539062,609.74666563828,1977974
2025-05-09,612.7454223632812,612.7454223632812,601.7499906406123,604.2489523957643,1943273
2025-05-12,600.7503662109375,620.7420589301036,592.253896805292,616.2439280682912,2936038
2025-05-13,602.249755859375,604.748717501945,594.7528709316649,599.251001888291,1960458
2025-05-14,604.7487182617188,607.2476799074284,599.2510026411577,601.7499642868672,1665312
2025-05-15,614.7445678710938,614.7445678710938,600.2505902546208,603.2493442442359,3480449
2025-05-16,617.2435302734375,618.243114937848,613.2451916157959,617.7433226056428,1576674
2025-05-19,617.2435302734375,619.2426996022584,611.7458146191802,617.2435302734375,1957469
2025-05-20,621.2418823242188,622.2414670101789,616.2439588944181,618.7429206093184,1968817
2025-05-21,638.2348022460938,642.2331408662728,627.2393710406011,633.2368789708698,4520524
2025-05-22,627.2393798828125,637.73501890874,624.7404182099726,636.2356419050361,3584205
2025-05-23,632.7371215820312,634.7362910025116,621.2418974142691,627.7391980308304,3755113
2025-05-27,639.7341918945312,643.2327382564545,633.73668384552,633.73668384552,2771208
2025-05-28,642.233154296875,644.7321159867461,638.7346079310554,639.7341926070039,1702089
2025-05-29,633.7366943359375,639.2344101385363,619.7425086565951,637.2352407557731,3131204
2025-05-30,633.7366943359375,640.233994829918,631.7375249531743,634.7362790273191,6855616
2025-06-02,644.2322998046875,645.7316767631158,632.6121283768683,632.7370764567373,1946506
2025-06-03,645.23193359375,649.2302724541296,641.7333870909179,644.7321412362026,2925365
2025-06-04,642.233154296875,647.2310776766172,638.7346079310554,647.2310776766172,2098436
2025-06-05,643.2327270507812,646.231481023046,638.7345960923841,643.2327270507812,3292850
2025-06-06,649.7300415039062,656.7271342585638,645.7317027869591,647.2310798058143,2732962
2025-06-09,652.22900390625,654.5340764399233,648.2306651849856,652.22900390625,1943633
2025-06-10,653.2285766601562,656.2273306463544,649.2302380118921,653.7283689911893,1888569
2025-06-11,657.2269287109375,659.7258904170627,652.229005298687,652.728797639912,3354310
2025-06-12,653.7283935546875,656.2273553037498,651.2294318056253,654.7279782543125,1410275
2025-06-13,651.7291870117188,654.7279409396867,644.7320945131266,649.2302254050787,2020859
2025-06-16,655.7275390625,658.7262930521151,650.2298234148723,652.2289927412824,1479901
2025-06-17,652.7288208007812,654.2671831458932,649.2302742880664,653.7284055186998,2471536
2025-06-18,661.2252807617188,663.224450166894,654.2281878436054,656.2273572487807,2559982
2025-06-19,657.7267456054688,661.7250844845294,654.7279914461733,658.2265379653513,1584208
2025-06-20,657.2269287109375,667.7225678766634,657.1899567677267,662.724644464413,8541120
2025-06-23,650.7296142578125,658.2264992146997,646.2314832836802,654.7279529014857,1949649
2025-06-24,654.7279663085938,660.7254743969168,652.7287969458195,658.7263050341425,2037079
2025-06-25,647.2310791015625,657.7267182221284,647.2310791015625,655.2277565267556,1911739
2025-06-26,652.7288208007812,654.7279902366182,647.2311048522295,650.229859005985,1599598
2025-06-27,656.7271118164062,658.2264887840237,650.4507281272935,652.7287732360933,1238880
2025-06-30,658.2265014648438,661.7250477900176,655.7275398040053,660.7254631256822,2205971
2025-07-01,661.2252807617188,665.2236195720693,658.7263190052497,662.7246578156003,2301584
2025-07-02,637.2352294921875,664.7238080193015,636.7354371553309,662.724638671875,3791202
2025-07-03,647.7308959960938,648.0917690182737,639.814202127777,645.2319342059853,5136497
2025-07-04,647.2310791015625,648.2306637797117,643.5326035904493,646.2314944234134,2308671
2025-07-07,643.7325439453125,651.7292215098506,643.2327515975289,647.7308827275815,2499935
2025-07-08,635.236083984375,645.7317234522521,635.236083984375,641.7333846073466,2660601
2025-07-09,636.2356567382812,641.7333725467032,635.6118924624323,636.7354490845014,2879629
2025-07-10,636.7354125976562,643.2327127262038,636.560497488464,640.7337511383008,2552089
2025-07-11,643.7325439453125,645.2319209886634,636.7354510763417,638.2348281196927,2925525
2025-07-14,652.22900390625,652.22900390625,641.233572422773,641.733364762931,1140626
2025-07-15,650.7296142578125,656.2273298928632,649.2302372664351,656.2273298928632,1712077
2025-07-16,645.731689453125,650.7296127461059,645.731689453125,647.2310664410193,1350184
2025-07-17,643.2327270507812,649.7300273240214,643.2327270507812,648.7304426665999,1634643
2025-07-18,646.2315063476562,648.7304680891399,640.2339981680957,648.7304680891399,1803851
2025-07-21,657.2269287109375,658.7263057346127,644.2323278390862,648.7304589101117,1722733
2025-07-22,651.7291870117188,656.2273179036707,648.7304330837507,653.7283562970307,1150489
2025-07-23,654.2281494140625,655.7275263798701,651.7291878043832,655.2277340579343,1362971
2025-07-24,654.2281494140625,657.7266956676136,649.4551083356529,655.2277340579343,1340680
2025-07-25,649.230224609375,654.727940137245,644.7320937229359,654.727940137245,1368518
2025-07-28,648.73046875,654.7279769356703,646.7312993547765,652.7288075404468,1341918
2025-07-29,648.2306518554688,651.229405834754,645.7316902060645,648.7304441853496,1358291
2025-07-30,648.73046875,654.2281845868644,644.2323376107473,649.7300534476117,1199283
2025-07-31,663.7242431640625,664.2240355158427,648.7304726106574,652.7288114248988,2032712
2025-08-01,660.7254638671875,665.7233871944734,656.7271252053588,658.2265022035446,1575118
2025-08-04,673.7200927734375,673.7540752369391,660.7254915775106,661.2252839312001,2083945
2025-08-05,675.71923828125,677.7184076252773,669.7217302491679,672.7204842652089,1958090
2025-08-06,686.2149047851562,686.7146971411541,673.6401120255018,676.7188500211956,3776577
2025-08-07,678.718017578125,688.2140723159633,673.7200940318944,686.214902897471,1726200
2025-08-08,679.2177734375,680.2173580930372,674.2198501598142,676.7188117986572,2660921
2025-08-11,686.7146606445312,687.2144529739668,680.2173603618683,681.2169450207394,1349560
2025-08-12,684.7155151367188,694.2115697262061,682.2165534026432,687.7142692176095,1661807
2025-08-13,687.7142333984375,690.7129873231399,684.2156871529513,686.71464875687,2957442
2025-08-14,695.7109375,698.7096915409483,689.1546405944331,690.7130140984195,1799956
2025-08-15,689.7134399414062,698.7097022015116,689.7134399414062,698.2099098537279,1353626
2025-08-18,683.7159423828125,693.2119971381294,683.7159423828125,690.7130353604144,3215991
2025-08-19,679.7175903320312,686.2148908278522,676.718836257037,684.715513790355,1397459
2025-08-20,690.2131958007812,692.7121574075908,680.2173493735434,682.7163109803528,1130817
2025-08-21,692.21240234375,695.2111564333258,687.2144788611237,691.2128176472247,1163408
2025-08-22,694.2115478515625,699.2094711622289,687.2144552166295,690.2132092030294,1542771
2025-08-26,695.7109375,695.7109375,684.2157136763649,691.7125987787356,4276326
2025-08-27,691.7125854492188,698.7096780765952,689.2136237965842,697.7100934155415,1132925
2025-08-28,689.213623046875,694.7113386766905,681.7167380971265,694.7113386766905,1049815
2025-08-29,681.2169799804688,690.7130347270784,678.7180182050452,689.713450016909,1400737
2025-09-01,681.2169799804688,685.7061427343126,677.7184334948757,681.2169799804688,1250049
2025-09-02,652.7288208007812,681.7167776204178,652.7288208007812,679.7176081845807,3406195
2025-09-03,654.2281494140625,661.2252419211648,641.2335490437297,652.228980126319,3784458
2025-09-04,660.2257080078125,664.7238392508635,654.7279920440836,655.2277844044226,1861139
2025-09-05,669.7217407226562,673.0483614916121,660.2256861900215,660.2256861900215,2530852
2025-09-08,618.742919921875,669.7217388492023,618.742919921875,664.7238154249546,12968418
2025-09-09,629.7383422851562,639.7341889880953,614.7445722307478,616.2439492361887,4916181
2025-09-10,636.2356567382812,642.2831319255838,629.738356237419,630.2381485836391,3723923
2025-09-11,639.7341918945312,642.7329459190369,634.7362685203552,635.7358531951904,2346829
2025-09-12,646.2315063476562,649.2302604374366,640.2339981680957,641.2335828646891,3769503
2025-09-15,657.2269287109375,659.2260980758376,647.2310818864365,649.2302512513368,3009182
2025-09-16,641.7333374023438,659.7258608809141,641.2335450834945,657.7266916055174,3099778
2025-09-17,649.7300415039062,655.7275495793269,641.2335717303936,644.2323257681039,2049067
2025-09-18,655.227783203125,659.7259144379291,648.7304825306302,650.7296519683209,1935672
2025-09-19,657.2269287109375,659.2260980758376,652.229005298687,655.2277593460373,4898954
2025-09-22,656.7271118164062,658.7262811065627,652.7287732360933,655.727527171328,2136421
2025-09-23,656.7271118164062,663.4783348178142,653.7283578811715,657.7266964614845,3342283
2025-09-24,658.2265014648438,662.2248401221852,653.7283704753346,657.7267091326761,2665468
2025-09-25,623.0,634.0,620.5,634.0,7364621
2025-09-26,634.5,635.0,624.7050170898438,625.0,3092812
2025-09-29,637.0,640.0,633.5,640.0,2098152
2025-09-30,643.5,644.5,633.0,638.5,2403806
2025-10-01,646.5,650.0,639.0,647.0,3078688
2025-10-02,648.0,649.5,640.5,648.0,1864455
2025-10-03,656.5,656.5,648.0,650.5,2180173
2025-10-06,664.0,664.0,652.0,657.0,3115991
2025-10-07,661.5,667.0,650.5,663.0,2911247
2025-10-08,661.5,664.0,655.0,663.0,1714359
2025-10-09,664.5,667.5,660.5,664.5,2029116
2025-10-10,665.0,670.5,662.0,667.0,1842615
2025-10-13,668.5,673.5,664.0,666.5,2987482
2025-10-14,676.5,677.0,663.0,666.0,6160505
2025-10-15,675.5,683.0,674.0,679.0,2343938
2025-10-16,661.0,677.5,656.0,674.5,1758582
2025-10-17,649.5,655.5,639.0,652.0,3870891
2025-10-20,650.0,654.5,648.0,654.0,1465160
2025-10-21,653.5,657.5,650.0,650.0,2284536
2025-10-22,668.0,674.5,657.5,658.0,2552058
2025-10-23,667.5,671.0,664.5,669.5,1433640
2025-10-24,679.0,679.0,661.5,668.5,2738528
2025-10-27,683.0,686.5,675.5,681.0,2085452
2025-10-28,683.0,685.5,670.5,684.0,1797737
2025-10-29,683.5,686.5,678.0,685.5,1219391
2025-10-30,682.0,686.0,678.0,686.0,1554491
2025-10-31,674.0,685.0,669.8660278320312,682.0,2182773
2025-11-03,679.0,683.5,674.0,676.5,1794747
2025-11-04,674.0,679.0,664.4929809570312,675.5,2395749
2025-11-05,679.5,680.0,669.0,675.0,2675053
2025-11-06,683.5,684.5,675.0,681.0,1755002
2025-11-07,677.5,684.0,672.0,682.0,1144333
2025-11-10,683.0,686.0,675.5,684.0,1603060
2025-11-11,685.0,689.5,681.5,688.0,1786053
2025-11-12,687.0,694.0,684.5,689.0,4855982
2025-11-13,680.5,690.5180053710938,680.5,688.5,1476228
2025-11-14,666.0,672.0,655.5,671.0,2572100
2025-11-17,666.5,671.0,662.5,669.5,3024340
2025-11-18,659.0,662.5,652.5,659.5,3030506
2025-11-19,654.0,660.0,648.5,658.5,1895826
2025-11-20,658.0,662.5,655.5,661.0,2005735
2025-11-21,660.0,665.0,649.0,651.0,1827124
2025-11-24,664.0,669.5,657.0,661.5,2624072
2025-11-25,669.5,672.0,659.5,664.0,1524050
2025-11-26,690.5,694.0,667.5,672.0,4498321
2025-11-27,694.0,698.5,688.5,692.0,1611255
2025-11-28,696.0,697.5,691.0,696.0,1840731
2025-12-01,694.0,696.0,686.0,694.5,1616453
2025-12-02,694.0,699.0,692.5,696.0,3182554
2025-12-03,693.5,696.5,687.5,695.5,1411304
2025-12-04,694.5,698.0,689.0,696.0,2165057
2025-12-05,692.5,700.0,692.5,695.0,1992179
2025-12-08,687.0,695.0,682.5,693.0,1937156
2025-12-09,688.5,693.0,682.5,684.5,1479357
2025-12-10,679.0,687.0,677.5,685.0,1893705
2025-12-11,679.5,682.5,676.5,680.5,2735820
2025-12-12,676.5,688.5,674.5,684.0,2564802
2025-12-15,694.0,697.5,676.5,682.0,2854193
2025-12-16,696.0,697.5,690.0,695.0,1520135
2025-12-17,719.0,728.0,700.0,700.0,7091035
2025-12-18,727.0,728.5,717.5,723.0,2703145
2025-12-19,728.5,728.5,720.0,727.5,6347067
2025-12-22,727.5,728.5,720.0,723.5,1154300
2025-12-23,731.0,732.5,725.5,728.5,2094000
2025-12-24,728.5,732.5,726.0,726.0,288820
2025-12-29,730.5,732.5,725.5,728.0,1077162
2025-12-30,737.5,737.5,725.7369995117188,729.5,854701
2025-12-31,737.0,738.5,732.0,737.0,543856
2026-01-02,743.0,745.0,732.0,739.0,1459341
2026-01-05,746.0,749.5,729.5,749.5,2068619
2026-01-06,740.5,756.5,740.5,746.0,1498167
2026-01-07,732.5,738.5,726.5,734.0,1900038
2026-01-08,743.5,744.0,730.5,731.5,1527602
2026-01-09,741.0,744.5,734.5,744.0,2050972
2026-01-12,741.5,745.5,731.5,738.5,2190897
2026-01-13,736.0,744.0,733.0,741.5,1728919
2026-01-14,736.5,740.0,730.5,736.5,1345633
2026-01-15,745.0,750.5,735.0,737.0,1414982
2026-01-16,740.5,746.0,737.0,745.0,3938190
2026-01-19,748.5,748.5,732.0,736.0,1981362
2026-01-20,733.0,748.0,733.0,748.0,1947792
2026-01-21,731.5,744.0,730.0,737.5,1655999
2026-01-22,724.5,742.0,716.0830078125,736.0,2376117
2026-01-23,722.0,732.5,719.0,723.5,1349925
2026-01-26,723.0,732.0,723.0,724.0,1465733
2026-01-27,733.5,735.5,723.5,729.0,1783344
2026-01-28,743.5,745.5,731.5,733.5,1997649
2026-01-29,742.0,748.0,739.0,745.0,1174249
2026-01-30,739.5,746.5,735.0,740.0,2381548
2026-02-02,748.0,750.0,734.0,737.5,1674770
2026-02-03,751.5,752.5,742.0,751.0,1502309
